wcode,station,uf,lon,lat,min_date,max_date
82014,Normandia,RR,-60.16,3.5,2011-04-14,2011-04-14
82022,Boa Vista - Aeroporto,RR,-60.69,2.84,2015-01-01,2016-07-10
82024,Boa Vista,RR,-60.66,2.82,2000-01-01,2016-07-10
82042,Caracarai,RR,-61.12,1.83,2000-01-01,2016-07-10
82067,Iauarete,AM,-69.18,0.61,2000-01-01,2016-06-29
82096,Canivete,PA,-50.41,0.51,2015-12-21,2016-07-10
82098,Macapa,AP,-51.11,-0.05,2000-01-01,2016-07-10
82099,Macapa - Aeroporto,AP,-51.07,0.05,2015-01-01,2016-07-10
82106,S G Da Cachoeira Uaupes ,AM,-67.0,-0.11,2000-01-01,2016-07-10
82113,Barcelos,AM,-62.91,-0.96,2000-01-01,2016-07-10
82141,Soure,PA,-48.51,-0.73,2000-01-01,2016-07-08
82143,Salinopolis  1 ,PA,-47.35,-0.61,2015-01-01,2016-07-10
82145,Tracuateua,PA,-46.9,-1.06,2000-01-01,2016-07-10
82178,Obidos,PA,-55.51,-1.91,2000-01-01,2016-07-08
82181,Monte Alegre,PA,-54.1,-2.0,2000-01-01,2016-07-10
82184,Porto De Moz,PA,-52.23,-1.73,2000-01-01,2016-07-10
82188,Breves,PA,-50.48,-1.68,2000-01-01,2016-07-10
82191,Belem,PA,-48.43,-1.43,2000-01-01,2016-07-10
82193,Belem - Aeroporto,PA,-48.47,-1.38,2015-01-01,2016-07-10
82198,Turiacu,MA,-45.36,-1.56,2000-01-01,2016-07-10
82212,Fonte Boa,AM,-66.16,-2.53,2000-01-01,2016-07-10
82240,Parintins,AM,-56.73,-2.63,2000-01-01,2016-01-29
82244,Santarem- Aeroporto,PA,-54.78,-2.42,2015-01-01,2016-07-10
82246,Belterra,PA,-54.95,-2.63,2000-01-01,2016-07-10
82263,Cameta,PA,-49.5,-2.25,2000-01-01,2016-07-10
82280,Sao Luis,MA,-44.21,-2.53,2000-01-01,2016-07-10
82281,Sao Luis - Aeroporto,MA,-44.23,-2.58,2015-01-01,2016-07-10
82287,Parnaiba,PI,-41.76,-3.08,2000-01-01,2016-07-10
82294,Acarau,CE,-40.14,-2.88,2000-01-01,2011-03-17
82296,Luzilandia Lag Do Piaui ,PI,-42.28,-3.41,2000-01-02,2015-10-31
82298,Esperantina,PI,-42.25,-3.9,2000-01-01,2016-01-31
82317,Tefe,AM,-64.7,-3.83,2000-01-01,2016-07-10
82326,Codajas,AM,-62.08,-3.83,2000-01-01,2016-07-10
82331,Manaus,AM,-60.01,-3.1,2000-01-01,2016-07-10
82332,Manaus - Aeroporto,AM,-59.98,-3.14,2015-01-01,2016-06-30
82333,Eduardo Gomes,AM,-60.04,-3.03,2015-01-01,2016-07-06
82336,Itacoatiara,AM,-58.43,-3.13,2000-01-01,2016-07-10
82353,Altamira,PA,-52.21,-3.21,2000-01-01,2016-06-30
82361,Tucurui,PA,-49.66,-3.76,2000-01-01,2016-07-08
82376,Ze Doca,MA,-45.65,-3.26,2000-01-01,2016-07-10
82382,Chapadinha,MA,-43.35,-3.73,2000-01-01,2016-07-10
82392,Sobral,CE,-40.33,-3.73,2000-01-01,2016-07-10
82397,Fortaleza,CE,-38.53,-3.81,2000-01-01,2016-07-10
82398,Fortaleza - Aeroporto,CE,-38.53,-3.77,2015-01-01,2016-07-10
82400,Fernando De Noronha,PE,-32.41,-3.85,2015-01-01,2016-07-10
82410,Benjamin Constant,AM,-70.03,-4.38,2000-01-01,2016-07-10
82411,Tabatinga,AM,-69.93,-4.25,2015-01-01,2016-07-10
82425,Coari,AM,-63.13,-4.08,2000-01-01,2016-01-29
82444,Itaituba,PA,-56.0,-4.24,2015-11-10,2015-11-10
82445,Itaituba,PA,-55.98,-4.28,2000-01-01,2016-07-10
82460,Bacabal,MA,-44.76,-4.21,2000-01-01,2016-07-10
82474,Caldeirao,PI,-41.8,-4.28,2000-01-01,2015-01-31
82476,Caxias,MA,-43.35,-4.86,2000-01-01,2016-07-01
82480,Piripiri,PI,-41.78,-4.26,2000-01-01,2016-07-10
82486,Quixada,CE,-39.01,-4.96,2009-10-20,2009-10-20
82487,Guaramiranga,CE,-39.0,-4.28,2000-01-01,2016-07-10
82493,Jaguaruana,CE,-37.76,-4.78,2000-01-01,2016-07-10
82533,Manicore,AM,-61.3,-5.81,2000-01-01,2016-07-10
82562,Maraba,PA,-49.13,-5.36,2000-01-01,2016-07-10
82564,Imperatriz,MA,-47.48,-5.53,2000-05-11,2016-06-30
82565,Imperatriz - Aeroporto,MA,-47.45,-5.53,2015-01-01,2015-10-17
82567,Carajas,PA,-50.0,-6.11,2015-04-03,2016-07-09
82571,Barra Do Corda,MA,-45.23,-5.5,2000-01-01,2016-07-10
82578,Teresina,PI,-42.81,-5.08,2000-01-01,2016-07-10
82579,Teresina  Aeroporto,PI,-42.82,-5.06,2015-01-01,2016-07-10
82583,Crateus,CE,-40.66,-5.16,2000-01-01,2016-07-10
82586,Quixeramobim,CE,-39.28,-5.16,2000-01-01,2016-07-10
82588,Morada Nova,CE,-38.36,-5.11,2000-01-01,2016-06-30
82590,Apodi,RN,-37.81,-5.61,2000-01-01,2016-07-10
82591,Mossoro,RN,-37.29,-5.2,2000-01-01,2008-09-19
82594,Macau,RN,-36.57,-5.15,2000-01-01,2016-07-10
82595,Calcanhar,RN,-35.48,-5.16,2015-01-01,2016-07-10
82596,Ceara Mirim,RN,-35.65,-5.65,2000-01-01,2016-07-10
82597,Macaiba,RN,-35.33,-5.81,2014-07-03,2014-07-03
82598,Natal,RN,-35.2,-5.91,2000-01-01,2016-07-10
82599,Natal - Aeroporto,RN,-35.24,-5.9,2015-01-01,2016-07-09
82610,Eirunepe,AM,-69.86,-6.66,2000-01-01,2016-07-10
82659,Araguaina,TO,-48.2,-7.2,2000-01-01,2016-07-10
82668,Sao Felix Do Xingu,PA,-51.96,-6.63,2003-11-18,2016-07-08
82676,Colinas,MA,-44.25,-6.03,2000-01-01,2016-07-10
82678,Floriano,PI,-43.01,-6.76,2000-01-01,2016-07-10
82683,Taua,CE,-40.41,-6.0,2000-01-01,2016-06-30
82684,Morro Dos Cavalos,PI,-41.9,-7.85,2000-01-01,2014-05-31
82686,Iguatu,CE,-39.29,-6.36,2000-01-01,2016-07-10
82689,Sao Goncalo,PB,-38.21,-6.75,2000-01-01,2016-07-10
82690,Serido  Caico ,RN,-37.08,-6.46,2000-01-01,2016-07-10
82691,Florania,RN,-36.81,-6.11,2000-01-01,2016-07-10
82693,Cruzeta,RN,-36.58,-6.43,2000-01-01,2016-07-10
82695,Camaratuba,PB,-35.13,-6.55,2000-01-01,2008-10-01
82696,Areia,PB,-35.68,-6.97,2000-01-01,2016-07-10
82704,Cruzeiro Do Sul,AC,-72.66,-7.6,2000-01-01,2016-02-07
82723,Labrea,AM,-64.83,-7.25,2000-01-01,2016-07-10
82753,Ouricuri,PE,-40.04,-7.9,2000-01-01,2016-07-10
82765,Carolina,MA,-47.46,-7.33,2000-01-01,2016-07-10
82768,Balsas,MA,-46.03,-7.53,2000-01-01,2016-07-10
82777,Campos Sales,CE,-40.38,-7.0,2000-01-01,2016-06-30
82780,Picos,PI,-41.48,-7.03,2000-01-01,2016-07-10
82784,Barbalha,CE,-39.3,-7.31,2000-01-01,2016-07-10
82789,Triunfo,PE,-38.11,-7.81,2000-01-01,2016-07-10
82791,Patos,PB,-37.26,-7.01,2000-01-01,2016-07-10
82792,Monteiro,PB,-37.06,-7.88,2000-01-01,2016-07-10
82795,Campina Grande,PB,-35.88,-7.22,2000-01-01,2016-07-10
82796,Campina Grande,PB,-35.89,-7.26,2015-01-01,2016-07-10
82797,Surubim,PE,-35.71,-7.83,2000-01-01,2016-07-10
82798,Joao Pessoa,PB,-34.86,-7.1,2000-01-01,2016-07-10
82800,Jo?O Pessoa - Aeroporto,PB,-34.95,-7.11,2015-01-01,2016-07-10
82807,Tarauaca,AC,-70.76,-8.16,2000-01-01,2016-07-10
82824,Porto Velho - Aeroporto,RO,-63.9,-8.71,2015-01-01,2016-07-10
82825,Porto Velho,RO,-63.91,-8.76,2000-01-01,2008-02-20
82861,Conceicao Do Araguaia,PA,-49.26,-8.26,2000-01-01,2016-07-10
82863,Pedro Afonso,TO,-48.18,-8.96,2000-01-01,2016-07-10
82870,Vale Do Gurgueia  Cristiano Castro ,PI,-43.71,-8.41,2000-01-01,2015-10-31
82879,Sao Joao Do Piaui,PI,-42.25,-8.35,2000-01-01,2016-07-10
82882,Paulistana,PI,-41.13,-8.13,2000-01-01,2016-07-10
82886,Cabrobo,PE,-39.33,-8.51,2000-01-01,2016-07-10
82890,Arcoverde,PE,-37.08,-8.41,2000-01-01,2016-07-10
82892,Pesqueira,PE,-36.76,-8.4,2000-01-01,2015-07-31
82893,Garanhuns,PE,-36.51,-8.88,2000-01-01,2016-07-10
82898,Olinda,PE,-34.85,-8.01,2003-02-17,2004-09-10
82899,Recife - Aeroporto,PE,-34.92,-8.12,2015-01-01,2016-07-10
82900,Recife  Curado ,PE,-34.95,-8.05,2000-01-01,2016-07-10
82915,Rio Branco,AC,-67.8,-9.96,2000-01-01,2016-07-10
82917,Rio Branco - Aero,AC,-67.89,-9.86,2015-01-01,2016-07-10
82927,Cotriguacu,MT,-58.57,-9.9,2000-09-02,2000-09-30
82930,Cachimbo,PA,-54.96,-9.33,2015-03-20,2016-07-10
82965,Alta Floresta - Aeroporto,MT,-56.1,-9.86,2015-01-01,2016-07-10
82970,Alto Parnaiba,MA,-45.93,-9.1,2000-01-01,2016-07-10
82975,Bom Jesus Do Piaui,PI,-44.11,-9.1,2000-01-01,2016-07-10
82976,Caracol,PI,-43.33,-9.28,2000-01-01,2016-07-03
82979,Remanso,BA,-42.1,-9.63,2000-01-01,2016-07-10
82983,Petrolina,PE,-40.48,-9.38,2000-01-01,2016-07-10
82984,Petrolina - Aeroporto,PE,-40.56,-9.36,2015-01-01,2016-07-10
82985,Caraiba,BA,-39.88,-9.83,2007-06-07,2007-06-07
82986,Paulo Afonso,BA,-38.21,-9.36,2000-01-01,2015-04-30
82989,Agua Branca,AL,-37.9,-9.28,2000-01-01,2016-07-10
82990,Pao De Acucar,AL,-37.43,-9.75,2000-01-01,2016-06-30
82992,Palmeira Dos Indios,AL,-36.7,-9.44,2000-01-01,2016-07-10
82993,Maceio - Aeroporto,AL,-35.78,-9.51,2015-01-01,2016-07-10
82994,Maceio,AL,-35.7,-9.66,2000-01-01,2016-07-10
82996,Porto De Pedras,AL,-35.43,-9.18,2000-01-01,2016-07-10
83004,Sao Paulo  Iag ,SP,-46.61,-23.65,2000-01-01,2015-08-12
83007,Alto Da Boa Vista,RJ,-43.27,-22.96,2000-01-01,2016-06-30
83011,Bacacheri,PR,-49.23,-25.4,2015-01-01,2016-07-10
83013,Muniz Freire,ES,-41.41,-20.46,2002-01-01,2016-04-30
83015,Maria Da Fe,MG,-45.37,-22.31,2000-01-01,2016-06-30
83032,Lambari,MG,-45.31,-21.94,2000-01-01,2011-06-30
83033,Palmas,TO,-48.3,-10.19,2000-01-01,2016-07-10
83034,Itarana,ES,-40.87,-19.87,2002-01-01,2013-11-30
83037,Coronel Pacheco,MG,-43.26,-21.55,2000-01-01,2009-04-30
83043,Alfredo Chaves,ES,-40.73,-20.63,2002-01-01,2007-01-15
83045,Venda Nova,ES,-41.18,-20.38,2000-01-01,2006-03-31
83048,Rio Bonito,RJ,-42.64,-22.71,2000-01-01,2016-05-31
83049,Avelar  P Do Alferes ,RJ,-43.41,-22.35,2000-01-01,2016-05-31
83052,Santa Monica  Valenca ,RJ,-43.7,-22.35,2000-01-01,2007-11-30
83054,Jacarepagua - Aeroporto,RJ,-43.37,-22.98,2015-01-01,2016-07-10
83057,Macae-Pesagro,RJ,-41.76,-22.38,2002-07-01,2005-09-16
83061,Ponte Alta,MG,-42.63,-19.83,2000-01-01,2004-09-30
83064,Porto Nacional,TO,-48.41,-10.71,2000-01-01,2016-07-10
83065,Palmas - Aeroporto,TO,-48.34,-10.2,2015-01-01,2016-07-10
83075,Guarulhos,SP,-46.46,-23.43,2000-01-01,2014-11-30
83076,Sta  R  De Cassia  Ibipetuba ,BA,-44.51,-11.01,2000-01-01,2016-07-10
83087,Gra  Juriti  Petropol ,RJ,-43.03,-22.28,2002-01-01,2007-06-30
83088,Senhor Do Bonfim,BA,-40.18,-10.46,2000-01-01,2011-08-01
83089,Marica,RJ,-42.82,-22.92,2000-01-01,2016-04-30
83090,Monte Santo,BA,-39.29,-10.43,2000-01-01,2016-07-10
83095,Aracaju - Aeroporto,SE,-37.07,-10.98,2015-01-01,2016-07-10
83096,Aracaju,SE,-37.04,-10.95,2000-01-01,2016-07-10
83097,Propria,SE,-36.84,-10.21,2000-01-01,2016-07-10
83103,Campos Dos Goitacazes,RJ,-41.3,-21.7,2015-01-01,2016-07-10
83114,Iguaba Grande,RJ,-42.18,-22.83,2000-01-01,2016-05-31
83115,Santa Cruz,RJ,-43.71,-22.93,2015-01-01,2016-07-09
83117,Ilha Rasa,RJ,-43.15,-23.06,2015-01-01,2016-07-10
83118,Barbacena,MG,-43.76,-21.26,2015-03-01,2016-07-10
83179,Barra,BA,-43.16,-11.08,2000-01-01,2016-07-10
83182,Irece,BA,-41.86,-11.3,2000-01-01,2016-07-10
83184,Morro Do Chapeu,BA,-41.21,-11.21,2000-01-01,2016-07-10
83186,Jacobina,BA,-40.46,-11.18,2000-01-01,2016-07-10
83190,Serrinha,BA,-38.96,-11.63,2000-01-01,2016-07-10
83192,Cipo,BA,-38.51,-11.08,2000-01-01,2016-07-10
83195,Itabaianinha,SE,-37.81,-11.11,2000-01-02,2016-07-10
83208,Vilhena Aeroporto,RO,-60.09,-12.7,2015-01-07,2016-07-10
83214,Matupa,MT,-54.91,-10.25,2000-01-01,2016-07-10
83221,Feira De Santana,BA,-38.96,-12.18,2000-01-01,2016-07-10
83222,Cruz Das Almas,BA,-39.08,-12.66,2000-01-01,2016-07-10
83226,Camacari,BA,-38.31,-12.66,2000-01-01,2006-01-31
83228,Peixe,TO,-48.35,-12.01,2000-01-01,2016-07-10
83229,Salvador  Ondina ,BA,-38.53,-13.01,2000-01-01,2016-07-10
83235,Taguatinga,TO,-46.41,-12.4,2000-01-01,2016-07-10
83236,Barreiras,BA,-45.0,-12.15,2000-01-01,2016-07-10
83242,Lencois,BA,-41.38,-12.56,2000-01-01,2016-07-10
83244,Itaberaba,BA,-40.28,-12.51,2000-01-01,2016-07-10
83248,Salvador - Aeroporto,BA,-38.32,-12.9,2015-01-01,2016-07-10
83249,Alagoinhas,BA,-38.42,-12.14,2000-01-01,2016-07-10
83264,Gleba Celeste,MT,-55.29,-12.28,2000-01-01,2014-04-30
83267,Sao Jose Do Rio Claro,MT,-56.71,-13.43,2000-01-01,2016-01-29
83270,Canarana,MT,-52.27,-13.47,2000-01-01,2016-07-10
83286,Correntina,BA,-44.61,-13.33,2000-01-01,2016-06-30
83288,Bom Jesus Da Lapa,BA,-43.41,-13.26,2000-01-01,2016-07-10
83292,Ituacu,BA,-41.3,-13.81,2000-01-01,2016-07-10
83295,Itirucu  Jaguaquara ,BA,-40.11,-13.35,2000-01-01,2016-01-30
83309,Diamantino,MT,-56.45,-14.4,2000-01-01,2016-07-10
83319,Nova Xav  Xavantina ,MT,-52.35,-14.7,2000-01-01,2016-07-10
83332,Posse,GO,-46.36,-14.1,2000-01-01,2016-07-10
83334,Formoso,MG,-46.25,-14.93,2000-01-01,2016-07-10
83338,Espinosa,MG,-42.8,-14.91,2000-01-01,2016-07-09
83339,Caetite,BA,-42.48,-14.06,2000-01-01,2016-07-10
83344,Vitoria Da Conquista,BA,-40.79,-14.88,2000-01-01,2016-07-10
83349,Ilheus - Aeroporto,BA,-39.03,-14.8,2015-01-01,2016-07-10
83350,Goianesia,GO,-49.0,-15.21,2000-01-01,2008-08-20
83358,Poxoreo,MT,-54.38,-15.83,2000-01-01,2016-07-10
83361,Cuiaba,MT,-56.1,-15.61,2000-01-01,2016-07-10
83362,Cuiaba - Aeroporto,MT,-56.11,-15.65,2015-01-01,2016-07-10
83363,Sao Vicente,MT,-55.41,-15.81,2000-01-01,2016-07-10
83364,Padre Ricardo Remetter,MT,-56.06,-15.78,2000-01-03,2016-07-10
83367,Meruri,MT,-53.08,-15.53,2001-07-19,2002-09-03
83368,Aragarcas,GO,-52.23,-15.9,2000-01-01,2016-07-10
83373,Roncador,DF,-47.88,-15.93,2000-01-01,2016-04-29
